date,PHR,GVR,TRC,VNIndex
11/13/2020,55350,16558,30055.5,966.2899780273438
11/12/2020,55259,16509,28502.5,959.280029296875
11/11/2020,55800,15876,30512.30078125,952.219970703125
11/10/2020,54809,15389,30969,951.9000244140625
11/09/2020,52104,14999,30055.5,951.989990234375
11/06/2020,51473,14853,29781.400390625,938.2899780273438
11/05/2020,51203,14512,29781.400390625,937.75
11/04/2020,52285,15097,28411.099609375,939.760009765625
11/03/2020,51473,15097,29233.30078125,935.4099731445313
11/02/2020,50752,14220,29598.69921875,933.6799926757813
10/30/2020,49670,13782,28776.5,925.469970703125
10/29/2020,49400,13343,28411.099609375,919.0800170898438
10/28/2020,49761,13051,30781,921.0499877929688
10/27/2020,50482,13733,30361,946.469970703125
10/26/2020,50932,13928,29426,950.7999877929688
10/23/2020,50031,13976,28959,961.260009765625
10/22/2020,49310,13928,30361,949.9000244140625
10/21/2020,48949,13830,29987,939.030029296875
10/20/2020,49580,14366,28959,944.4199829101563
10/19/2020,49851,14415,29520,943.6900024414063
10/16/2020,49851,13587,28212,943.2999877929688
10/15/2020,49130,13197,27558,942.760009765625
10/14/2020,50121,13343,28072,940.1799926757813
10/13/2020,50752,13636,27511,929.8599853515625
10/12/2020,50482,13295,27418,925.8300170898438
10/09/2020,52104,13343,28586,924
10/08/2020,52375,12905,28773,918.8400268554688
10/07/2020,52826,12418,28025,919.719970703125
10/06/2020,52916,12564,27008,915.6699829101563
10/05/2020,52916,12662,28025,914.6799926757813
10/02/2020,52104,11931,27470,909.9099731445313
10/01/2020,52555,12029,28488,914.0900268554688
09/30/2020,52555,12029,28626,905.2100219726563
09/29/2020,51203,11834,27748,903.97998046875
09/28/2020,52285,11834,27886,912.5
09/25/2020,52375,11736,28256,908.27001953125
09/24/2020,52735,11785,28580,908.5800170898438
09/23/2020,52735,11785,28256,912.5
09/22/2020,51834,11931,28580,906.1900024414063
09/21/2020,51834,11931,28950,907.9400024414063
09/18/2020,52195,11838,28395,900.9500122070313
09/17/2020,52285,11838,28534,894.0399780273438
09/16/2020,52826,11745,29043,897.469970703125
09/15/2020,53366,11606,27285,896.260009765625
09/14/2020,53547,12600,27285,894.5700073242188
09/11/2020,52735,12850,27193,888.969970703125
09/10/2020,52735,12800,28210,888.8200073242188
09/09/2020,52555,12400,28210,889.3200073242188
09/08/2020,51834,12200,27748,890.1400146484375
09/07/2020,51383,11900,28349,888.25
09/04/2020,52285,12000,30000,901.5399780273438
09/03/2020,51924,12150,31000,903.969970703125
09/01/2020,51924,12150,30400,891.72998046875
08/31/2020,50932,11850,30500,881.6500244140625
08/28/2020,52285,12050,30500,878.97998046875
08/27/2020,53096,12350,29300,874.7100219726563
08/26/2020,52735,11900,29200,873.469970703125
08/25/2020,52375,11750,29250,874.1199951171875
08/24/2020,52735,11950,30000,868.6799926757813
08/21/2020,53096,11850,29600,854.780029296875
08/20/2020,51924,11700,29000,848.2100219726563
08/19/2020,51654,11500,30100,851.2100219726563
08/18/2020,48769,11050,30000,846.4299926757813
08/17/2020,48679,10950,30000,850.1500244140625
08/14/2020,48679,10900,29500,850.739990234375
08/13/2020,48408,11000,30000,855.0499877929688
08/12/2020,48318,11100,28400,846.9199829101563
08/11/2020,48408,11100,28200,843.0800170898438
08/10/2020,48679,11150,28300,843.2000122070313
08/07/2020,47687,10600,28000,841.4600219726563
08/06/2020,47507,10600,28050,840.0399780273438
08/05/2020,47777,10650,28300,837.7999877929688
08/04/2020,46696,10450,29000,827.5700073242188
08/03/2020,46425,10350,29000,814.6500244140625
07/31/2020,45073,10000,27900,798.3900146484375
07/30/2020,45524,10100,28000,801.1300048828125
07/29/2020,45704,10250,28900,790.8400268554688
07/28/2020,46425,10600,28000,813.3599853515625
07/27/2020,44217,10250,27350,785.1699829101563
07/24/2020,47507,11000,27200,829.1599731445313
07/23/2020,49130,11500,27300,856.75
07/22/2020,48949,11750,27900,855.0800170898438
07/21/2020,49400,11950,28000,861.6900024414063
07/20/2020,48138,12100,28000,861.4000244140625
07/17/2020,48408,12100,27550,872.02001953125
07/16/2020,47417,12050,27950,876.8300170898438
07/15/2020,47507,12100,27000,869.9099731445313
07/14/2020,47777,12100,26100,868.1099853515625
07/13/2020,47056,11900,26100,868.719970703125
07/10/2020,47687,11900,25900,871.2100219726563
07/09/2020,48408,11850,26200,876.4600219726563
07/08/2020,48679,11650,26500,864.5
07/07/2020,47777,11650,26150,863.4199829101563
