date,PHR,VNIndex
09/14/2020,53547,894.5700073242188
09/11/2020,52735,888.969970703125
09/10/2020,52735,888.8200073242188
09/09/2020,52555,889.3200073242188
09/08/2020,51834,890.1400146484375
09/07/2020,51383,888.25
09/04/2020,52285,901.5399780273438
09/03/2020,51924,903.969970703125
09/01/2020,51924,891.72998046875
08/31/2020,50932,881.6500244140625
08/28/2020,52285,878.97998046875
08/27/2020,53096,874.7100219726563
08/26/2020,52735,873.469970703125
08/25/2020,52375,874.1199951171875
08/24/2020,52735,868.6799926757813
08/21/2020,53096,854.780029296875
08/20/2020,51924,848.2100219726563
08/19/2020,51654,851.2100219726563
08/18/2020,48769,846.4299926757813
08/17/2020,48679,850.1500244140625
08/14/2020,48679,850.739990234375
08/13/2020,48408,855.0499877929688
08/12/2020,48318,846.9199829101563
08/11/2020,48408,843.0800170898438
08/10/2020,48679,843.2000122070313
08/07/2020,47687,841.4600219726563
08/06/2020,47507,840.0399780273438
08/05/2020,47777,837.7999877929688
08/04/2020,46696,827.5700073242188
08/03/2020,46425,814.6500244140625
07/31/2020,45073,798.3900146484375
07/30/2020,45524,801.1300048828125
07/29/2020,45704,790.8400268554688
07/28/2020,46425,813.3599853515625
07/27/2020,44217,785.1699829101563
07/24/2020,47507,829.1599731445313
07/23/2020,49130,856.75
07/22/2020,48949,855.0800170898438
07/21/2020,49400,861.6900024414063
07/20/2020,48138,861.4000244140625
07/17/2020,48408,872.02001953125
07/16/2020,47417,876.8300170898438
07/15/2020,47507,869.9099731445313
07/14/2020,47777,868.1099853515625
07/13/2020,47056,868.719970703125
07/10/2020,47687,871.2100219726563
07/09/2020,48408,876.4600219726563
07/08/2020,48679,864.5
07/07/2020,47777,863.4199829101563
07/06/2020,47507,861.1599731445313
07/03/2020,47417,847.6099853515625
07/02/2020,47507,842.3800048828125
07/01/2020,46425,843.489990234375
06/30/2020,44803,825.1099853515625
06/29/2020,44803,829.3599853515625
06/26/2020,45974,851.97998046875
06/25/2020,45614,854.5900268554688
06/24/2020,45614,859.7100219726563
06/23/2020,46966,868.2000122070313
06/22/2020,47417,871.280029296875
06/19/2020,47146,868.5599975585938
06/18/2020,46335,855.27001953125
06/17/2020,45073,854.4400024414063
06/16/2020,45253,856.1300048828125
06/15/2020,44036,832.469970703125
06/12/2020,45704,863.52001953125
06/11/2020,45073,867.3699951171875
06/10/2020,48138,900
06/09/2020,48408,899.4299926757813
06/08/2020,54700,899.9199829101563
06/05/2020,54600,886.219970703125
06/04/2020,53700,883.9000244140625
06/03/2020,54500,881.1699829101563
06/02/2020,51100,874.7999877929688
06/01/2020,53000,878.6699829101563
05/29/2020,50900,864.469970703125
05/28/2020,50000,861.3900146484375
05/27/2020,49000,857.47998046875
05/26/2020,51300,869.1300048828125
05/25/2020,48650,859.0399780273438
05/22/2020,45500,852.739990234375
05/21/2020,46000,862.72998046875
05/20/2020,45300,852.9099731445313
05/19/2020,44550,845.9199829101563
05/18/2020,44550,837.010009765625
05/15/2020,44000,827.030029296875
05/14/2020,44500,832.4000244140625
05/13/2020,46600,834.2100219726563
05/12/2020,46000,835.3200073242188
05/11/2020,44700,828.3300170898438
05/08/2020,44150,813.72998046875
05/07/2020,45200,796.5399780273438
05/06/2020,44900,782.5900268554688
05/05/2020,44050,764.1599731445313
05/04/2020,43300,762.469970703125
04/29/2020,45200,769.1099853515625
04/28/2020,45850,767.2100219726563
04/27/2020,45850,770.77001953125
04/24/2020,43100,776.6599731445313
04/23/2020,42000,773.9099731445313
04/22/2020,42000,768.9199829101563
04/21/2020,41100,766.8400268554688
04/20/2020,43700,794.969970703125
04/17/2020,44300,789.5999755859375
04/16/2020,42850,780.7000122070313
04/15/2020,42700,777.219970703125
04/14/2020,40900,767.4099731445313
04/13/2020,41050,765.7899780273438
04/10/2020,41900,757.9400024414063
04/09/2020,40700,760.3300170898438
04/08/2020,40500,748.02001953125
04/07/2020,39900,746.6900024414063
04/06/2020,38850,736.75
04/03/2020,36350,701.7999877929688
04/01/2020,34500,680.22998046875
03/31/2020,33000,662.530029296875
03/30/2020,34350,662.260009765625
03/27/2020,36900,696.0599975585938
03/26/2020,37650,694.2100219726563
03/25/2020,38900,690.25
03/24/2020,37200,659.2100219726563
03/23/2020,38450,666.5900268554688
03/20/2020,41300,709.72998046875
03/19/2020,41000,725.9400024414063
03/18/2020,41700,747.6599731445313
03/17/2020,42300,745.780029296875
03/16/2020,41500,747.8599853515625
03/13/2020,41000,761.780029296875
03/12/2020,41400,769.25
03/11/2020,44500,811.3499755859375
03/10/2020,44600,837.5
03/09/2020,44550,835.489990234375
03/06/2020,47850,891.4400024414063
03/05/2020,47700,893.3099975585938
03/04/2020,46600,889.3699951171875
03/03/2020,47000,890.6099853515625
03/02/2020,46800,884.4299926757813
02/28/2020,47200,882.1900024414063
02/27/2020,45300,898.4400024414063
02/26/2020,44850,895.969970703125
02/25/2020,45300,909.6699829101563
02/24/2020,48000,903.3400268554688
02/21/2020,47200,933.0900268554688
02/20/2020,46950,938.1300048828125
02/19/2020,43900,928.760009765625
02/18/2020,42250,927.9299926757813
02/17/2020,39500,934.77001953125
02/14/2020,40200,937.4500122070313
02/13/2020,40200,938.239990234375
02/12/2020,39500,937.6799926757813
02/11/2020,38900,934.6699829101563
02/10/2020,38100,930.72998046875
02/07/2020,38500,940.75
02/06/2020,36000,938.5399780273438
02/05/2020,33650,925.9099731445313
02/04/2020,33200,929.0900268554688
02/03/2020,34100,928.1400146484375
01/31/2020,36350,936.6199951171875
01/30/2020,39000,959.5800170898438
01/22/2020,40000,991.4600219726563
01/21/2020,38950,986.3699951171875
01/20/2020,39300,978.6300048828125
01/17/2020,40150,978.9600219726563
01/16/2020,40100,974.3099975585938
01/15/2020,38650,967.5599975585938
01/14/2020,38650,967
01/13/2020,38350,965.8400268554688
01/10/2020,38900,968.5399780273438
01/09/2020,39000,960.1500244140625
01/08/2020,37500,948.97998046875
01/07/2020,39000,958.8800048828125
01/06/2020,39100,955.7899780273438
01/03/2020,40300,965.1400146484375
01/02/2020,38750,966.6699829101563
12/31/2019,38200,960.989990234375
12/30/2019,38500,965.030029296875
12/27/2019,40450,963.510009765625
12/26/2019,40550,958.5900268554688
12/25/2019,41400,960.9199829101563
12/24/2019,40000,958.8800048828125
12/23/2019,41800,959.4299926757813
12/20/2019,44459,956.4099731445313
12/19/2019,47678,952.260009765625
12/18/2019,48891,951.1300048828125
12/17/2019,48611,954.030029296875
12/16/2019,48611,961.469970703125
12/13/2019,48331,966.1799926757813
12/12/2019,48518,968.1699829101563
12/11/2019,48051,961.780029296875
12/10/2019,50197,960.2999877929688
12/09/2019,53800,966.0599975585938
12/06/2019,54200,963.5599975585938
12/05/2019,54900,963.27001953125
12/04/2019,55000,965.9000244140625
12/03/2019,54600,953.4299926757813
12/02/2019,54000,959.3099975585938
11/29/2019,56800,970.75
11/28/2019,56800,970.3900146484375
11/27/2019,56200,978.1699829101563
11/26/2019,56400,976.7899780273438
11/25/2019,57000,976.3499755859375
11/22/2019,58000,977.780029296875
11/21/2019,58700,987.8900146484375
11/20/2019,59800,1000.559997558594
11/19/2019,57800,1008.349975585938
11/18/2019,56500,1002.909973144531
11/15/2019,56400,1010.030029296875
11/14/2019,55300,1012.299987792969
11/13/2019,55000,1012.77001953125
11/12/2019,56900,1018.330017089844
11/11/2019,57900,1016.75
11/08/2019,58200,1022.489990234375
11/07/2019,58100,1024.030029296875
11/06/2019,59000,1024.910034179688
11/05/2019,57200,1024.339965820313
11/04/2019,57800,1022.429992675781
11/01/2019,58700,1015.590026855469
10/31/2019,58900,998.8200073242188
10/30/2019,59000,1000.890014648438
10/29/2019,60000,995.8699951171875
10/28/2019,60700,996.47998046875
10/25/2019,62200,996.5700073242188
10/24/2019,62000,993.5999755859375
10/23/2019,59100,987.7899780273438
10/22/2019,59900,987.1900024414063
10/21/2019,60000,983.5599975585938
10/18/2019,60000,989.2000122070313
10/17/2019,60900,989.8200073242188
10/16/2019,59300,994.4600219726563
10/15/2019,60000,993.0499877929688
10/14/2019,60700,993.5700073242188
10/11/2019,62500,991.8400268554688
10/10/2019,62600,987.3800048828125
10/09/2019,60800,987.8300170898438
10/08/2019,59000,988.219970703125
10/07/2019,59700,983.0900268554688
10/04/2019,60800,987.5900268554688
10/03/2019,60200,989.6699829101563
10/02/2019,59300,991.1900024414063
10/01/2019,61400,999.5900268554688
09/30/2019,61000,996.5599975585938
09/27/2019,60400,997.8400268554688
09/26/2019,57800,990.75
09/25/2019,57900,987.2999877929688
09/24/2019,55700,988.1300048828125
